Designator,Footprint,Quantity,Value,LCSC Part #
AE1,GPS1003,1,GPS1003,C239243
C1,0805,1,4.5 nF,C1744
"C10, C15, C2, C5, C6",0402,5,1uF,C52923
"C11, C23",0402,2,100 pF,C1546
"C12, C24, C3, C4, C9",0402,5,100 nF,C1525
"C13, C7",0603,2,10 uF,C19702
"C14, C28",0603,2,10uF,C19702
"C16, C18, C20, C21, C8",0402,5,100nF,C1525
C17,0603,1,22uF,C59461
C19,0402,1,9.1 pF,C161337
C22,0402,1,15 pF,C1548
C25,0402,1,12 pF,C1547
C27,0402,1,10 pF,C32949
D1,0805,1,Success,C2297
D2,0805,1,Error,C84256
D3,0805,1,Power,C84256
FB1,0603,1,BLM18AG121SN1D,C76892
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USBC,C136423
"L1, L4",0402,2,33 nH,C307609
L2,LPS3015222MRB,1,2.2uH,C2844756
L3,0402,1,220 nH,C275307
L5,0402,1,30 nH,C341687
L6,0402,1,36 nH,C167476
L7,0402,1,22 nH,C86129
"R1, R2",0402,2,10k,C25744
"R10, R13, R9",0603,3,330,C23138
R11,0402,1,180k,C100276
"R12, R14, R15, R3",0402,4,1M,C26083
R4,0402,1,220,C25091
"R5, R7",0805,2,5k1,C27834
"R6, R8",0603,2,1.8k,C4177
SW1,SW_SPST_CK_RS282G05A3,1,RST,C2888954
SW2,SW_SPDT_PCM12,1,Power Switch,C963206
U1,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,C92489
U2,ATGM336H,1,ATGM336H,C5117921
U4,TQFP-48_7x7mm_P0.5mm,1,ATSAMD21G18A-A,C78624
U5,KDS-1XZA032768AD19,1,1XZA032768AD19,C213398
U6,Texas_S-PVSON-N10_ThermalVias,1,TPS61200DRC,C140320
U7,OSC_ECS-TXO-32CSMV-260-AN-TR,1,~,C135223
U8,MCP1700,1,Linear Step-Down,C632000
