"Reference","Value","Footprint","Qty"
"AE1","GPS ANT","RF_Antenna_Extended:ANT_1575AT_JOT","1"
"AE2","ANT","Antenna:Antenna_Whip","1"
"BT1","AAA","BatteryExtended:BAT_BK-82","1"
"C1,C2,C3,C10,C15,C26","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","6"
"C4,C5","100 nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"
"C6","4.5 nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"
"C7,C8,C9,C13,C16,C18,C20,C21","100nF","-- mixed values --","8"
"C11,C23","100 pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"
"C12,C14","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"
"C17","22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"
"C19","9.1 pF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","1"
"C22","15 pF","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","1"
"C24","10 nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"
"C25","12 pF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","1"
"C27","10 pF","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","1"
"D1","Success","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"
"D2","Error","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"
"D3,J6","Power","-- mixed values --","2"
"FB1","BLM18AG121SN1D","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","1"
"IC1","SI4063","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias","1"
"J1","SWD","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1"
"J2","GPIO","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1"
"J3","USBC","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1"
"J4","OPTIONAL","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","1"
"J5","I2C","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1"
"J7","SPI","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1"
"JP1","SWITCH_EN","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","1"
"JP2","Source","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels","1"
"L1,L4","33 nH","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","2"
"L2","2.2uH","IND_CONT:LPS3015222MRB","1"
"L3","220 nH","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","1"
"L5","30 nH","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","1"
"L6","36 nH","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","1"
"L7","22 nH","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","1"
"R1,R2","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"
"R3","1M","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"R4","220","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"R5,R7","5k1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"
"R6,R8","1.8k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"
"R9,R10","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"
"R11","900k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"R12","5M","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"R13","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"SW1","RST","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","1"
"SW2","BATT PWR","SlideSwitch:WS-SLSU_6p7x2p7_WRE","1"
"U1","BME280","Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering","1"
"U2","MAX-M10S","RF_GPS:ublox_MAX","1"
"U3","Linear Step-Down","Package_TO_SOT_SMD:SOT-89-3_Handsoldering","1"
"U4","ATSAMD21G18A-A","Package_QFP:TQFP-48_7x7mm_P0.5mm","1"
"U5","TCXO MCU","Oscillator_TCXO:ATXK-H11-E-32.768KHZ-E50-T3","1"
"U6","TPS61200DRC","Package_SON:Texas_S-PVSON-N10_ThermalVias","1"
"XTAL1","~","OSC:OSC_ECS-TXO-32CSMV-260-AN-TR","1"
